molecule,smiles,target_affinity,antitarget_affinity,weighted_score
D5E68FF05969BB4F_3912DCFC125D37CA_6031_UN,C[N]1C(=NC=C1)N2CC(CC2)C(=O)OCCOC3(CN)C[S](CC3)(=O)=O,4.786454200744629,6.044520020484924,0.25306418538093567
C821D74ECDE44BE8_7A0C24F5AD2A8348_6029_UN,CC(CCN[S](C2=C[N](CC1OCCN(C(C)C)C1)N=C2)(=O)=O)CCO,4.924345970153809,6.228565335273743,0.2529219686985016
E3C47863A9FF00CF_51295191B690F424_6038_UN,O(CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2)C(=O)C3=CC(=C(N=C3)Br)Cl,4.841011047363281,6.11758017539978,0.25282591581344604
359EFC9CA6E41D04_E44ACD88D5FBAFEF_6029_UN,N(CC1=NC(=C(C=N1)C(=O)O)C(F)(F)F)[S](C2=C(C(O)=O)C=C(C=C2[N](=O)=O)F)(=O)=O,5.355653762817383,6.8046311140060425,0.25218042731285095
7D473B392C4B3217_5F7090971628F342_6041_UN,FC1=CC5=C(C(=C1)NC2=CN=C(N=C2)N3CC4CCC(C3)O4)C=NC=C5,5.089695930480957,6.450921177864075,0.251505047082901
482254832FBC17E0_D467A0001CFB4A9D_6041_DP,CCN5CCC1=C(C=CC=C1N[C@@H]2CC(C(O)=O)C[C@@H]2[N]3C=C(N=N3)C4CC4)C5C,5.705465316772461,7.272099852561951,0.2513904273509979
15A45F28D6001374_A51CA6156994F446_6038_UN,CC(=O)N1CCCN(CC1)C2=CC=C(C=C2)CNC(C(=CC3=C([N](CC(C)C)C(=C3)C)C)C#N)=O,5.461139678955078,6.946614503860474,0.2511788010597229
559BBC42040C1977_3ACFA9AF1EDAB0F0_6038_UN,CC[C@H](OC(C1=CC(=C(C(=C1)OC(=O)C)OC(=O)C)OC(C)=O)=O)C2=CC=C(C=C2)F,4.662604331970215,5.882470011711121,0.2507518231868744
D49112129CF1B15B_95040FF3F620D823_6039_DP,NC3CC(OCC(NC2=C(C(OC1CC(CCC1C(C)C)C)=O)C=CC=C2)=O)(CN=[N]#N)C3,5.48208475112915,6.975727438926697,0.2502891719341278
E5AACD9D3F65152B_340E7D723DFEDDD9_6038_UN,CC(C)CC(NC(C1=C(NC(C(C)C)=O)SC(=C1C)C)=O)C2=NN=N[NH]2,5.416950225830078,6.888983607292175,0.25021252036094666
367AC9B336268BD6_E6826AB03EE41DF3_6038_DP,N4CCC1=C(C=C(C=N1)NC(C2=C(C)N=C(S2)C3=C(C)C(=NN(C)C3=O)C)=O)C4,5.752622604370117,7.336805105209351,0.25001877546310425
E418CFAC1BEDF5E5_D9A73512CE6D91F0_6039_UN,CC1CCCCN1CCCOCC(NC3=NC2=C(C=C(OC)C=C2)S3)=O,4.841433525085449,6.122009038925171,0.24992674589157104
C9EFB508E83EA5E4_CC47A44DA6FD72DD_6039_UN,O([C@H]1CC[C@@H](CC1)N3C(=O)C2=C(C=CC=C2)C3=O)CC4CCC(O4)C5CC5,5.254130840301514,6.672393202781677,0.24983593821525574
A64CB8B524C8C5D5_F72319B58B16232D_6041_DP,C1(=NC(=NC(=C1)C2=CC=CC=C2)C3=CC=CS3)NCC5C4CCC(N4)C5,4.990906715393066,6.322091221809387,0.249338299036026
A1D1AB5ACEEEAF57_501E28B2B432A09A_6041_DP,CCC1=NC(=NC(=C1)C)N[C@@H]2CC(C(O)=O)C[C@@H]2[N]3C=C(N=N3)C(C)(C)C,5.737574577331543,7.317684769630432,0.24931100010871887
BC22F856CFA661F4_55FCA67BA55ED722_6038_UN,N(C2CN(CC1CC1)C(=O)C2)C(CC3C(=NN(CCC(C)C)C3=O)C)=O,4.998251914978027,6.332373380661011,0.2489718794822693
7B612320D8D6F1D7_25D0A697AF03EFA3_6038_UN,O(CC1=CN=C(C=C1)C2=NC=CC=C2)C(C3=CC(=C(C(=C3)F)F)OC)=O,4.92063045501709,6.229161262512207,0.24875950813293457
CC6B8B74E9404B91_037BF0273586B453_6035_UN,O(CC12CCC(CC1)CC2)C4=C3C=CC=CC3=NC(=N4)C5=CC=NC=C5,4.7973127365112305,6.064801096916199,0.24871191382408142
B7D478AAABDC23E7_DA5247150CAEC3DC_6038_UN,CC(C)OC1=CC2=C(C=C1)CCC[C@H]2OC(=O)COCCOC3=CC=CC=C3,4.790147304534912,6.055855631828308,0.24825558066368103
BB2B596E2BFCD827_12DBB0C4D1ABB7ED_6041_UN,CCOC(=O)C(C)C[N]1C=C(C=N1)NC2=C(C(=C(C(=C2F)F)C#C)F)F,5.670896530151367,7.2305097579956055,0.24801421165466309
9334F1845631E0B6_B037508BD630FAC5_6038_UN,CC(NC(C1(C)CCN(C1)C2=C(C(=C(C(=C2F)F)F)F)F)=O)CN3CC(C)CC(C)C3,5.743585586547852,7.327778339385986,0.24775183200836182
1B5CCAE440EDA399_315F74F91FC6E7BA_6038_UN,CSC1=C(C=CC=C1)OC(CCC(N(CCCC)C2=C(N)N(CCC)C(=O)NC2=O)=O)=O,4.617954254150391,5.827165007591248,0.24758049845695496
5624877CBAD7182E_71AEC7BEBEA6F15E_6038_UN,CC3CC(OC(C1=C(C)N=C(S1)C2=C(C)C(=NN(C)C2=O)C)=O)C4=C3C(=CC=C4)C,5.784666061401367,7.382985830307007,0.24742668867111206
F7BA72D193EFAA47_5D26CD6D164DD6A5_6026_UN,O=[N](=O)C1=C(C(=CC(=C1)Cl)Cl)[S](=O)(=O)NC2=C(C)C=C(C(=C2[N](=O)=O)Br)F,5.282326698303223,6.713598728179932,0.24712765216827393
015C535B0DA842F1_9721AE3BDD8D10D9_6038_UN,CC(NC(C1=C([N](C(C)C)N=C1)F)=O)C2=CSC(=N2)NC(=O)C(C)(C)C,5.24822998046875,6.668518781661987,0.24684089422225952
A00DA1C10DF7F686_656D229CF2A0FC6E_6038_UN,N(C1CC2CCCC(C1)N2CC3=CC=CS3)C(COC4CC(CCC4C(C)C)C)=O,5.543690204620361,7.062479257583618,0.2468307614326477
E7E8B308512B34FC_2DAEBBFFB3BA913E_6041_UN,OC(=O)C1=CC2=C(C=C1)C(=O)N(C2=O)C3=C(C=CC=C3)NCCCCCCCCCCC(=O)O,4.691464900970459,5.926530122756958,0.24656730890274048
30F9C83813379EA9_A22466F144CC3D50_6038_UN,CC1=CC(=CC(=C1)NC(CCC(N(CCOC)C2=C(N)N(CC(C)C)C(=O)NC2=O)=O)=O)F,5.048781394958496,6.4035022258758545,0.24615472555160522
6A811EBDC21E168C_C2A91308F6A7DCF9_6038_UN,CC1=C(C(NC(=N1)N2CC(CC2)NC(C3=C([N](C(C)C)N=N3)C)=O)=O)C,5.6853928565979,7.252365350723267,0.24611884355545044
9012E13F87BDF8D3_CE652621314E39C7_6035_UN,O(CC12CCC(CC1)CC2)C3=CC=C(C=C3)C4=NC5=C(N=C4)C=CC=C5,4.640913009643555,5.859744191169739,0.2461048662662506
A8AD5A00C691543A_89D29B0E09944EE3_6038_UN,CC1CCN(CC1)C2=CC(=CC=C2)NC(C3=C(C)N=C(S3)C4=C(C)C(=NN(C)C4=O)C)=O,5.779938697814941,7.378794431686401,0.24584287405014038
60A5330AAFCB81FF_6EFE54ECCD545A5A_6038_DP,O(CC1=CN=C(C=C1)C2=NC=CC=C2)C(CCC(OCCOC(CCC(O)=O)=O)=O)=O,4.729445934295654,5.9784499406814575,0.24560847878456116
66446A62B6F7A164_C8F8B41D79AAB0F7_6038_DP,N3C[C@@H](NC(C1=C(C)N=C(S1)C2=C(C)C(=NN(C)C2=O)C)=O)[C@H](C3)[N]4C=CC=N4,5.837108612060547,7.4553879499435425,0.24556764960289001
9E6033BFFF09343C_751197594E505895_1031_UN,CCC(CC)C(C[N]1C(=C(C(=C1C)C(OCC)=O)C)C)N2CCOCC2,4.7873945236206055,6.055874466896057,0.24548867344856262
0192A488CE341E35_58145888A6A30688_6038_UN,N(CCCC(=O)N1CC2=C(C1)C=CC=C2)C(=O)C4=NC3=CC=N[N]3C=C4,5.080982208251953,6.447442054748535,0.24540066719055176
5E56BE28AF818106_E231920BA2563C2F_6035_UN,CC(OC1=CC(=NC(=N1)N2CC(CC2)N)C(C)C)C3=C(C(=CC=C3)C)C,5.579408168792725,7.1121731996536255,0.2452782690525055
8101B60E6FDE5755_5B297BC14FB2C614_6038_DP,N1CC(C1)C3=NN=C(CNC(C2=C(NC(C(C)C)=O)SC(=C2C)C)=O)S3,5.66939640045166,7.233271598815918,0.24444270133972168
2D00455776382F8E_3C4F529997BAC28D_6038_UN,N(C1CCN(C1=O)C2=C(C=CC=C2F)F)C(C(OCC(C)C)C(C)C)=O,5.56754207611084,7.097967624664307,0.24406635761260986
C6DBEA44C4B6EFB3_EBC5B082EACDFD52_6038_UN,COC(=O)C1CC4(C1)CC(NC(C(OC(C)=O)C(OC(=O)C)C3=NC2=C(C=CC=C2)S3)=O)CCO4,4.588735103607178,5.793199777603149,0.24383527040481567
E8D91012EE2945A9_DD1414049E1C10A6_7022_UN,C2(=C[N]1C=CN=C1C=C2)NC(C4=CC3=C(C=CC=C3)O4)C5=CC=NC=C5,4.894516944885254,6.201183795928955,0.2436290979385376
