Rank,Molecule ID,SMILES,Score,Extraction Timestamp
41,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:49:02.072250
42,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:50:30.814912
43,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:52:03.927644
44,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:53:38.623109
45,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:55:23.958445
46,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:57:05.880459
47,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T18:58:36.325762
48,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:00:06.704649
49,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:01:37.846994
50,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:03:23.500534
51,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:05:04.778228
52,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:06:28.075962
