uid,hotkey,molecule_name,url_path,smiles,target_score,antitarget_score,weighted_diff_score,block,stake,order_in_block,final_score
6,5CZu6Rr7MhTdQ14wdBtzv1bjT2AJSLXDnw48q3PJbPzUPjJU,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,commander-hawk/68/main/86aa99737b870f743a29.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324404,0.0,0,2.868793159723282
85,5EWYUt7fy2rjaGyK6mtZ6pnHBepJi69ss1jEURUaxu3LzYRg,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,LLystrblu/sn68/main/4fd8e77e82faf1c8ec5b.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324405,0.0,0,2.868793159723282
86,5GRVB14tshddbVfrujvA8SR9BgeVNjBXMFN5t8GrN7sGBvv3,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,LLystrblu/sn68/main/0f7051f7684ee7b17f5a.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324408,0.0,0,2.868793159723282
113,5CPHBmygku4FKx3xSeUnoMfn7cGie5xfkB7Fms1XuRafiu4R,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,bitty-labs/novasubs/main/60517a6d5e30b3e54637.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324420,0.0,0,2.868793159723282
65,5HQLxpKwUX6LCLhHHFn63LeK22GwaJm7CbKNtDvwfd6tDuNy,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,syless44/nova_commits/main/36bd94580450d050bf1e.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324422,0.0,1,2.867793159723282
32,5ELRR7UBv9Hv16AuMabqdjoGnDnjESn4HbVAUq3dLZfoAPRT,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,commander-hawk/68/main/8de0aae1c191bb89cf87.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324404,0.0,2,2.866793159723282
161,5DSb44vGh1ZccSJEamsAwb1hEpn37vARatTA7NkzqQDCqURm,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,tellorian/sn68_submit/main/b5cfa489ff5acbec437a.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324406,0.0,2,2.866793159723282
114,5G9isXT1FM9BmMnXz8dXe8Et2TfMx2vvxjt16nqYJuNxNbZh,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,bitty-labs/novasubs/main/e60cd8d1ad677ed39228.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324404,0.0,4,2.864793159723282
87,5H1ShoiMBfMozEV375vxdgVt5vkGvQix65QyJcFigrm5H756,C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,LLystrblu/sn68/main/da88bfa929f503436933.txt,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5,7.296627521514893,5.903779149055481,2.868793159723282,5324403,0.0,4,2.864793159723282
177,5E9nFrwtdg621BEGv7WAwHpF9jtng2SkYbgvhdWK8gU6HDaH,D1166C99B80A583E_95CB1E2FA344420B_6035_UN,LLystrblu/sn68/main/cdc1e6817084877cab27.txt,O(C12CCCC(C1)C3=C(N2)C=CC=N3)C4=NC=NC(=C4)C5=CC=CC=C5,7.106198787689209,5.677058100700378,2.848405212163925,5324414,0.0,0,2.848405212163925
