uid,hotkey,molecule_name,url_path,smiles,target_score,antitarget_score,weighted_diff_score,block,stake,order_in_block,final_score
85,5EWYUt7fy2rjaGyK6mtZ6pnHBepJi69ss1jEURUaxu3LzYRg,43EE24621704AAC4_CF0E99476B48D05E_6031_UN,LLystrblu/sn68/main/9aa6b336ccf81c776309.txt,OB(O)CCCCCC(=O)OCCCCCCCCCCCCCCC,6.612398624420166,6.292448043823242,1.8930625915527344,5321888,148.0108184814453,0,1.8930625915527344
86,5GRVB14tshddbVfrujvA8SR9BgeVNjBXMFN5t8GrN7sGBvv3,43EE24621704AAC4_CF0E99476B48D05E_6031_UN,LLystrblu/sn68/main/c0184df1494a472fd6f6.txt,OB(O)CCCCCC(=O)OCCCCCCCCCCCCCCC,6.612398624420166,6.292448043823242,1.8930625915527344,5321885,0.0,1,1.8920625915527345
87,5H1ShoiMBfMozEV375vxdgVt5vkGvQix65QyJcFigrm5H756,43EE24621704AAC4_CF0E99476B48D05E_6031_UN,LLystrblu/sn68/main/a4c1e1e19ef441041cc1.txt,OB(O)CCCCCC(=O)OCCCCCCCCCCCCCCC,6.612398624420166,6.292448043823242,1.8930625915527344,5321883,0.0,4,1.8890625915527344
178,5HT3csH4eCgVzjRaEr8vU5wVSHKdSfjdKauaGRUSgRVg4YWT,71894E8C83FC02B8_FDD8B178179AEEDC_6031_UN,LLystrblu/sn68/main/bd267cfda71a72227042.txt,OB(O)CCCCCC(=O)OCCSCCCCCCCCCCCC,6.6216254234313965,6.325508952140808,1.8774937093257904,5321894,0.0,0,1.8774937093257904
177,5E9nFrwtdg621BEGv7WAwHpF9jtng2SkYbgvhdWK8gU6HDaH,71894E8C83FC02B8_FDD8B178179AEEDC_6031_UN,LLystrblu/sn68/main/fb8685c2ddf515a03f00.txt,OB(O)CCCCCC(=O)OCCSCCCCCCCCCCCC,6.6216254234313965,6.325508952140808,1.8774937093257904,5321891,0.0,0,1.8774937093257904
161,5DSb44vGh1ZccSJEamsAwb1hEpn37vARatTA7NkzqQDCqURm,06539077F15882C6_FB1793B31594A18D_6031_DP,tellorian/sn68_submit/main/95c7134619b697b0e00b.txt,N[C@H](CC[S](=O)(=O)C)C(=O)OCC=C(CCC=C(CCC=C(C)C)C)C,7.0820817947387695,6.998201251029968,1.8334308564662933,5321886,0.0,3,1.8304308564662934
54,5GRQVqfzuURkU8Bhp94ADd6j13DCgzZxixKqFHrWDH6ynYbt,28A0985C13BEDFF5_FC4DE714C57336DF_6038_UN,commander-hawk/68/main/01561b116f23c7c69446.txt,N(CCCC[S](=O)(=O)N)C(CCCCCCCCCCCCCCC)=O,6.858177185058594,6.730364680290222,1.8104036748409271,5321887,0.0,0,1.8104036748409271
14,5DLAaZhg2Kaa4McL1HZVagmAb4sUUKha2EY8m21Ejrbwhi3V,EB4EA73F23B3846B_C1AF9B47510FD81C_6038_UN,tellorian/sn68_submit/main/bfe79a470f56abf0158b.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C34CC2(CC(CC(C)(C2)C3)C4)C)=O,7.344308853149414,7.385080456733704,1.8054985105991364,5321883,0.0,0,1.8054985105991364
113,5CPHBmygku4FKx3xSeUnoMfn7cGie5xfkB7Fms1XuRafiu4R,EB4EA73F23B3846B_C1AF9B47510FD81C_6038_UN,bitty-labs/novasubs/main/20108aa774f4f3af8997.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C34CC2(CC(CC(C)(C2)C3)C4)C)=O,7.344308853149414,7.385080456733704,1.8054985105991364,5321901,137.0216522216797,0,1.8054985105991364
6,5CZu6Rr7MhTdQ14wdBtzv1bjT2AJSLXDnw48q3PJbPzUPjJU,EB4EA73F23B3846B_C1AF9B47510FD81C_6038_UN,commander-hawk/68/main/e36fd1f39dd5eb70cd0c.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C34CC2(CC(CC(C)(C2)C3)C4)C)=O,7.344308853149414,7.385080456733704,1.8054985105991364,5321884,0.0,0,1.8054985105991364
114,5G9isXT1FM9BmMnXz8dXe8Et2TfMx2vvxjt16nqYJuNxNbZh,EB4EA73F23B3846B_C1AF9B47510FD81C_6038_UN,bitty-labs/novasubs/main/f35408cb22d741573928.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C34CC2(CC(CC(C)(C2)C3)C4)C)=O,7.344308853149414,7.385080456733704,1.8054985105991364,5321886,0.0,2,1.8034985105991364
32,5ELRR7UBv9Hv16AuMabqdjoGnDnjESn4HbVAUq3dLZfoAPRT,EB4EA73F23B3846B_C1AF9B47510FD81C_6038_UN,commander-hawk/68/main/4911cbde5abe6fa70a53.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(C34CC2(CC(CC(C)(C2)C3)C4)C)=O,7.344308853149414,7.385080456733704,1.8054985105991364,5321884,0.0,3,1.8024985105991365
65,5HQLxpKwUX6LCLhHHFn63LeK22GwaJm7CbKNtDvwfd6tDuNy,DEB1242553350AF5_49A2F176DD94B59A_6038_UN,syless44/nova_commits/main/9eda99b670279d96c123.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(=O)CC34CC2CC(CC(F)(C2)C3)C4,7.288371562957764,7.3234299421310425,1.7957991063594818,5321920,0.0,0,1.7957991063594818
25,5FuiHUaCEbrNiGuC568iokN8io3un9z8cZgAQmM1BUW9H8ho,DEB1242553350AF5_49A2F176DD94B59A_6038_UN,commander-hawk/68/main/71e30724fe6ade10dea3.txt,O(C1C[S](=O)(=O)CC1[S](=O)(=O)Cl)C(=O)CC34CC2CC(CC(F)(C2)C3)C4,7.288371562957764,7.3234299421310425,1.7957991063594818,5321884,0.0,1,1.794799106359482
