uid,hotkey,molecule_name,url_path,smiles,target_score,antitarget_score,weighted_diff_score,block,stake,order_in_block,final_score
215,5GEX3xwyzJBzEBxv9YaKjaNAnAHhUyvaFa1TbCpKdcvMxpZy,9C4E2367F988DF9E_B67D1BE5A05ACC11_6035_UN,tellorian/sn68_submit/main/c40b6814bb8e48d0d687.txt,O(C[B-](F)(F)F)C3=C(N=C2C=C1OCCOC1=CC2=N3)N4CCOCC4,6.42111873626709,6.8717851638793945,1.267279863357544,5328808,0.0,0,1.267279863357544
213,5Df3nC2RaGbFsCWZLV74syCREdk6siEzU8vMroBSuaiUHT9i,7D4EF289C5C5B84F_BA3C1CCFF338DB5A_6035_UN,tellorian/sn68_submit/main/0067221780ea1f843537.txt,O(C[B-](F)(F)F)C1=NC4=C(C(=C1)C2=CC=CC=C2)C=C3OCCOC3=C4,6.423417568206787,6.905225038528442,1.2444987893104553,5328805,0.0,0,1.2444987893104553
113,5CPHBmygku4FKx3xSeUnoMfn7cGie5xfkB7Fms1XuRafiu4R,8DC9AD4DCF28605D_85C5AD4B43253101_6027_UN,bitty-labs/novasubs/main/d3eabdd5d9fe9a078c77.txt,C3C[C@H]2CN(CC1=C(C=CC=N1)N2C3)[S](=O)(=O)C4=CC5=C(C=C4)N=C([NH]5)C6=CC=CC=C6,6.702861785888672,7.3407779932022095,1.1972782909870148,5328744,0.0,0,1.1972782909870148
6,5CZu6Rr7MhTdQ14wdBtzv1bjT2AJSLXDnw48q3PJbPzUPjJU,133C5CF6403A2104_1E9945ADA9F27F6C_2267_UN,commander-hawk/68/main/1146340619042cbcb85a.txt,CC1=NC5=C(C=C1)C=C(C#CC2=CC3=C(C=C2)C4=C(C3)C=CC=C4)C=C5,6.423892021179199,6.979176998138428,1.1895092725753784,5328723,0.0,0,1.1895092725753784
114,5G9isXT1FM9BmMnXz8dXe8Et2TfMx2vvxjt16nqYJuNxNbZh,133C5CF6403A2104_1E9945ADA9F27F6C_2267_UN,bitty-labs/novasubs/main/606106091585e2bc9c72.txt,CC1=NC5=C(C=C1)C=C(C#CC2=CC3=C(C=C2)C4=C(C3)C=CC=C4)C=C5,6.423892021179199,6.979176998138428,1.1895092725753784,5328725,0.0,1,1.1885092725753785
160,5FussqLA3xiViAjkVpx9RAsUyFRncX8f5qQwYjyhxAuSnLGo,133C5CF6403A2104_1E9945ADA9F27F6C_2267_UN,bitty-labs/novasubs2/main/3088ad8db9a3477cc27c.txt,CC1=NC5=C(C=C1)C=C(C#CC2=CC3=C(C=C2)C4=C(C3)C=CC=C4)C=C5,6.423892021179199,6.979176998138428,1.1895092725753784,5328877,0.0260754507035017,1,1.1885092725753785
32,5ELRR7UBv9Hv16AuMabqdjoGnDnjESn4HbVAUq3dLZfoAPRT,133C5CF6403A2104_1E9945ADA9F27F6C_2267_UN,commander-hawk/68/main/b83f1cad9b9461d8a3e7.txt,CC1=NC5=C(C=C1)C=C(C#CC2=CC3=C(C=C2)C4=C(C3)C=CC=C4)C=C5,6.423892021179199,6.979176998138428,1.1895092725753784,5328724,0.0,2,1.1875092725753784
212,5GHDZbmos918xk3iadir8afrdtC6aM6gxjQwh1QpxeNdUah1,F580CEE92B590E64_26F3D3F979D63A52_2201_UN,tellorian/sn68_submit/main/bd7f9c78a07cc1737364.txt,FC1=CC2=C(C=C1)[NH]C5=C2C4=NC3=C(C=CC=C3)C(=C4CC5)C(F)(F)F,6.49930477142334,7.084260702133179,1.1861092448234558,5328772,0.0,0,1.1861092448234558
158,5FKcdXidJDP9SLsHknQ4gLk1c5cfmovHc1KgTSSegLKumDX2,06F011239BA53EF1_850122AEFF03575E_6026_UN,tellorian/sn68_submit/main/aa3d4163a307197b18b2.txt,[S](=O)(=O)(C2=CC1=C(C=CC=C1)S2)N5CC3(C4=C(CC3)C=CC=C4)CCC5,6.383811950683594,6.931911945343018,1.1848779916763306,5328766,0.0,0,1.1848779916763306
159,5EbzMy8VTfaQhivXh9RLioK7vNEf5EvFhwiDZgbwcLcqgEyk,79354EA4081112B3_B6018DC723AE1F16_6026_DP,tellorian/sn68_submit/main/bd0e127d543088a7f215.txt,[S](=O)(=O)(C1=CSC2=C1C=CC=C2)N5CCC3(C4=C(NC3)C=CC=C4)CC5,6.322375774383545,6.85089385509491,1.1842053830623627,5328763,0.0,0,1.1842053830623627
156,5HpLkFz1xHDAdDZxjqjUtiAL3EryysBfLC1USwu6ed9dyZ9G,08F6211EE637665E_359DF9514B3D5A85_6026_UN,tellorian/sn68_submit/main/4f465c84afb7ecbd472a.txt,[S](=O)(=O)(C1=C[NH]C2=C1C=CC=C2)N5CC3(C4=C(CC3)C=CC=C4)CCC5,6.337322235107422,6.872187376022339,1.1831817030906677,5328752,0.0,0,1.1831817030906677
164,5GvUBBGTuQ3iRwU7YiyemoqgQSU8C2ucEwGENF3nzhyoRM8i,708E348CB28467F6_80A8C7A855F4C160_2201_UN,tellorian/sn68_submit/main/2725a47b2ff0b6599d11.txt,CC4(C3=NC1=C(C2=C(S1)CCC2)C(=C3C4[B-](F)(F)F)C5=CC=CC=C5)C,6.6346893310546875,7.272449731826782,1.1803520321846008,5328736,0.0,1,1.179352032184601
163,5GsDA3RnV868U3FBpcVh8e4cXMdxFp71pTBKfQ4z8AY85gJ4,B024097B6E1EBA24_10E6570228910C59_6026_UN,tellorian/sn68_submit/main/c16acf6f9045e02b77f8.txt,[S](=O)(=O)(C1=C[NH]C2=C1C=CC=N2)N5CC3(C4=C(CC3)C=CC=C4)CCC5,6.407645225524902,6.982422471046448,1.1708283722400665,5328733,0.0,1,1.1698283722400666
111,5Hmp5bojJyMrirD7xiSJttDS4GiTooffa44voBagGQFf3vYF,22AA11FDE0DEB89F_433DD10FA9E8FC7C_7005_UN,lovespaghetti/sn68/main/5102f15a68615ee800ad.txt,N4=C(CC[S](=O)(=O)C1=CC2=C(C=C1)CCC2)[NH]C5=CC3=C(C=CC=C3)C=C45,6.423456192016602,7.012838363647461,1.1638274192810059,5328837,0.0,0,1.1638274192810059
14,5DLAaZhg2Kaa4McL1HZVagmAb4sUUKha2EY8m21Ejrbwhi3V,3E27011B63C6BDBB_9B4649618370E9DA_6026_UN,tellorian/sn68_submit/main/266be51427146b765634.txt,[S](=O)(=O)(C2=C1C=CC=CC1=NS2)N5CC3(C4=C(CC3)C=CC=C4)CCC5,6.3525824546813965,6.932908892631531,1.1529007852077484,5328749,0.0,0,1.1529007852077484
