molecule,smiles
438DE9FD752C6986_7A62CB8E43B53C69_6038_UN,CCN(CC)CCCC(C)NC(=O)CC1CCN(CC1)C(=O)OCC=C
46A0543A4F692DD8_6B69031E3AB33416_6038_UN,N(C1C2=C(CC1)C=C(C(=C2F)F)F)C(C3(C(OC)=O)CC3[S](=O)(=O)C)=O
4954BF5E18BE0396_B48E435CBFDBA822_1031_UN,CC4CCC1=C(SC(=C1C#N)[N]2C3=C(C(=C2C)C(OCC)=O)CCC3)C4
4AC017F2A8AB694D_2584462A0F9794ED_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=NC=N3)NC5CC4=CC=N[N]4CC5
4BE4BF244595D153_01C54BF5FD9D3E51_6038_UN,CC(NC(C1=C(C(=CC(=C1)[S](N)(=O)=O)Cl)Cl)=O)CN2CC(C)CC(C)C2
4C679AEFC1A18718_45EF0834D4619E37_6039_UN,COC(=O)CC2CC(OCC(=O)NC(=O)NC1CC[S](=O)(=O)C1)C2(C)C
4D3AEA794BAC10DF_99F7297243E3E9CB_6038_UN,CC(C)C1CCC(C)CC1CNC(CCN(C)CC2=C(ON=C2C)C)=O
4E7743D237D887E0_91B133B13FDB2F14_6005_UN,ClC2=C1C(=CC=CC1=NC=C2C#N)C3=CC4=C(C=C3)CC5=C4C=CC=C5
5267E69580CA0E0E_884EF67C01B05FBA_7019_UN,CC(C)CN(C(C)C)C(=O)C=CC1=C([N](N=C1C)C2CC[S](=O)(=O)C2)C
573A4C85C9610FCF_2A2BCE77E73FB071_6038_UN,COCCOCCOCCCOC(COCC(N(CC)CCOC)=O)=O
57FA8DF38165577E_FC996D2B6EE0502D_2201_DP,N2CCC3CC1=C(C4=C(N=C1C2C3)C5=C(O4)C=CC=C5)C6=CC=CC=C6
592BC1206937376E_615D013C9616A5E4_6035_UN,CCCN(CCC)CCCOC2=C1CC(CCC1=N[NH]2)C3=CC=CC=C3
592EFF83C0357609_E1795AFEFD9021BD_6041_UN,COCOC1=C(C=C(C=C1F)F)NC2(C(OCC)=O)CC(C2)C(C)(C)C
5C4A86146DCE50BB_3979AC3B5254932D_6039_UN,O(CC1=NC(=CS1)C2CC2)CCCCCCCCCCCCCCCC
5C6F82DDA83BAC3B_A4E4BD6D99357B80_6029_UN,COC(=O)[C@H]1C[C@H](CN(C1)[S](C2=CC(=C(B(O)O)S2)I)(=O)=O)C(C)(C)C
5DE6895FD4DD0405_A07C288A0A689C03_6039_UN,O(CC1CCC(CC1)OCC#C)CC(N(C2CCC(C)CC2)C3CC3)=O
5E34B0C42D4CABB6_09CE05CFBEE8604F_6029_UN,COC(=O)[C@H]1C[C@@H](CN(C1)[S](C2=CC(=C(B(O)O)S2)I)(=O)=O)C(F)(F)F
5EA4BE8E1F1A7D92_119C130E0D212458_2201_UN,C12=NC4=C(C(=C1CCC3=C2N=CC(=C3)C#N)C)C=NC5=C4C=C(C=C5)Br
5FDBDED4B9C02904_3D0171BE961828A3_6031_UN,O(C(=O)C1(CCOCC1)C2=CC=CS2)CC3=CC(=C(OC)C=C3)B(O)O
60318F293D01FA57_267DDF8590C6B7B1_6041_UN,C1(=NC(=NC(=C1)C2CC2)C3CC3)NC4C5=C(CCC4N(C)C)C=CC=C5
616A9255874B48ED_EC5ED365C2E81CE1_6035_UN,O(CC12CCCN(CCC1)C2)C3=CC(=NC4=CC=N[N]34)C5=CC=CC=C5
6238340A99D29463_F179C23AA559954C_6039_UN,COC1=C(C=CC=C1OCC2=NC(=NO2)C3=NN=C(OC)C=C3)B(O)O
633E2D8C7F8AC454_9ACFAA2A30ADCD4F_6005_UN,ClC2=C1C=CC(=CC1=NC=C2C#N)C3=CC4=C(C=C3)CC5=C4C=CC=C5
6778DB4EA9313749_DE66C0CF00BA3086_6038_UN,CC(C)OC(=O)[C@@H](NC(=O)CC1CCN(CC1)C(=O)OCC=C)C(C)C
6A1271E9D088D219_30FBD57AC39548D1_2201_UN,CC[S](=O)(=O)C1=C(C2=C(N=C1C)SC3=C2CCC3)C4=CC=C(C=C4)C#N
6FF14C4BE283CB84_6DBC4D25D9915752_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=CN=C3)NC5CC4=NC=N[N]4CC5
72032DF6457BA501_68A05277EF96BA80_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=NC=N3)NC4CC[N]5C4=NC=C5C
72EF46CA854AC1E0_14C40A74B1A796AC_6039_UN,O(C1CCCC2CCCCC12)CCCCCCCCCCCCCCC
730269D2B46AEBD7_2BBEB4E09E7FEDC2_6031_UN,CC1(CC2CCC(C1)[S]2(=O)=O)C(=O)OCC4=C[N]([C@@H]3[C@H](N)COC3)N=N4
737EC9D004225919_110260BD30F8134E_2201_UN,C13=NC6=C5C(=C1C2(CCOCC2)OC4=C3C=CC=N4)C=CNC5=NC=N6
768F178437149206_D68214A727054594_6038_DP,N1CC[C@@H]([C@@H](F)C1)[N]3C=C(NC(C2=CC(=CC(=C2)N(C)C)C#N)=O)C=N3
